id,isFraud
940584,0
711670,0
997821,0
450757,0
300840,0
162109,0
865356,0
623359,0
244045,0
310487,0
967115,0
494310,0
557726,0
533328,0
1004370,0
105371,0
699429,0
357901,0
689592,0
521524,0
498139,0
365119,0
484843,0
419327,0
623952,0
42187,0
195810,0
3637,0
741085,0
746226,0
679578,0
417379,0
282045,0
861521,0
77952,0
193904,0
760890,0
991435,0
560138,0
828946,0
269686,0
624002,0
517376,0
376685,0
854142,0
362666,0
458611,0
1034885,0
58775,0
1044296,0
477404,0
35926,0
91001,0
840615,0
142793,0
399888,0
875086,0
754331,0
683944,0
233109,0
388879,0
967450,0
654055,0
736140,0
1005036,0
821274,0
759512,0
924500,0
802349,0
112997,0
717265,0
71899,0
941988,0
112874,0
1010649,0
102587,0
532905,0
450960,0
1013355,0
442771,0
442278,0
656398,0
4706,0
288761,0
285412,0
358760,0
443767,0
1022061,0
719264,0
4225,0
678464,0
945647,0
781398,0
917606,0
883720,0
246678,0
771545,0
779338,0
26792,0
1007737,0
120836,0
430635,0
418799,0
772583,0
973367,0
1838,0
637130,0
848955,0
180125,0
408132,0
282516,0
36880,0
862663,0
281136,0
1025444,0
474470,0
660399,0
216325,0
976928,0
553282,0
816600,0
244869,0
502085,0
34880,0
482803,0
554842,0
794979,0
165185,0
761185,0
24231,0
1027528,0
1031701,0
446639,0
659864,0
900531,0
984901,0
511522,0
976232,0
235872,0
676619,0
697575,0
51196,0
409290,0
828798,0
82373,0
659108,0
18609,0
494825,0
306895,0
113447,0
1002908,0
976889,0
70265,0
134030,0
797122,0
90670,0
551670,0
500521,0
337572,0
221241,0
901875,0
448170,0
404772,0
259947,0
852356,0
400630,0
645887,0
671269,0
655665,0
852336,0
37232,0
331921,0
684868,0
320887,0
8660,0
1043200,0
118373,0
917732,0
424253,0
692401,0
326051,0
135565,0
176790,0
188816,0
720327,0
90220,0
953408,0
210877,0
183440,0
401876,0
216059,0
389904,0
699177,0
481402,0
967183,0
738827,0
812573,0
816408,0
235005,0
798762,0
64926,0
155568,0
254561,0
583309,0
1024924,0
839971,0
19010,0
340420,0
273648,0
301187,0
647192,0
555019,0
373479,0
2841,0
744422,0
551580,0
814601,0
730812,0
685525,0
61304,0
629959,0
212065,0
563976,0
9312,0
528752,0
920983,0
743293,0
423848,0
1032652,0
937816,0
242159,0
985445,0
475023,0
923791,0
80228,0
586650,0
313704,0
829553,0
106881,0
659023,0
125189,0
879589,0
997537,0
525420,0
797383,0
498331,0
669764,0
26346,0
443297,0
257431,0
727103,0
691036,0
737734,0
392718,0
494550,0
95132,0
579162,0
153274,0
873187,0
269478,0
684493,0
829716,0
333634,0
636498,0
236452,0
954028,0
368326,0
799781,0
853933,0
574126,0
899890,0
164919,0
150348,0
29696,0
727342,0
210984,0
706219,0
58974,0
201629,0
1007907,0
20776,0
397419,0
850155,0
290512,0
766120,0
970781,0
936732,0
344187,0
269895,0
844859,0
991662,0
559594,0
334745,0
301054,0
102991,0
861416,0
575831,0
149508,0
338531,0
936067,0
798883,0
400358,0
708882,0
1027689,0
494769,0
838811,0
701810,0
26828,0
370871,0
439264,0
193658,0
28349,0
165464,0
538426,0
554108,0
286440,0
331969,0
174176,0
515907,0
600588,0
338279,0
936462,0
467420,0
339354,0
1035438,0
58579,0
11761,0
614848,0
723213,0
199424,0
342890,0
138552,0
821278,0
367126,0
567716,0
40758,0
631032,0
777626,1
1010027,0
852088,0
469138,0
447239,0
467451,0
451717,0
588722,0
147750,0
228241,0
443307,0
141586,0
578344,0
200228,0
590367,0
947982,0
823236,0
666191,0
389442,0
688629,0
159271,0
29358,0
743370,0
697332,0
24178,0
380924,0
628704,0
348664,0
189013,0
133091,0
215076,0
621064,0
268345,0
1034208,0
243116,0
7600,0
267570,0
744248,0
600449,0
638235,0
244311,0
949331,0
508742,0
943730,0
490286,0
848093,0
687184,0
293470,0
426191,0
382428,0
83217,0
69521,0
236084,0
518732,0
484582,0
26789,0
728172,0
853960,0
995322,0
632748,0
414886,0
330834,0
753433,0
849718,0
450382,0
882966,0
448970,0
54589,0
366057,0
962735,0
168761,0
652402,0
911645,0
913487,0
1034287,0
118830,0
334122,0
418066,0
732933,0
493735,0
1025178,0
578263,0
322219,0
172230,0
748508,0
849796,0
232629,0
309361,0
277896,0
483252,0
965577,0
484776,0
971033,0
659397,0
481445,0
756060,0
494070,0
917923,0
557199,0
24316,0
602114,0
322410,0
509823,0
471297,0
355107,0
486092,0
620770,0
408906,0
362649,0
150435,0
192158,0
341275,0
416773,0
551362,0
611969,0
463108,0
860542,0
572153,0
816546,0
914343,0
742621,0
266998,0
982182,0
149268,0
932188,0
482773,0
378933,0
996376,0
490192,0
472421,0
918129,0
97990,0
362233,0
245526,0
171623,0
741543,0
263082,0
700317,0
814315,0
222196,0
472369,0
388775,0
512601,0
96397,0
772306,0
18265,0
47255,0
686027,0
459193,0
952095,0
1027009,0
886828,0
933983,0
726932,0
121675,0
363011,0
929964,0
725047,0
366284,0
98016,0
419382,0
564632,0
145415,0
